4.000000000000000000e+02,4.017599999999999909e+02,1.880152008292859733e+01,8.338063909774675458e-03
5.000000000000000000e+02,4.986000000000000227e+02,1.863798322384434059e+01,1.055733082706791261e-02
6.000000000000000000e+02,6.022799999999999727e+02,1.831606911925651815e+01,1.283261278195514665e-02
7.000000000000000000e+02,6.998400000000000318e+02,1.813767142152295975e+01,1.515009398496264606e-02
8.000000000000000000e+02,8.027999999999999545e+02,1.794146010999049423e+01,1.750375939849647261e-02
9.000000000000000000e+02,9.057599999999999909e+02,1.775757851785499852e+01,1.981315789473703931e-02
1.000000000000000000e+03,1.000080000000000155e+03,1.751528037974659213e+01,2.219699248120323223e-02
1.100000000000000000e+03,1.104839999999999918e+03,1.722144238909484670e+01,2.475028195488753954e-02
1.200000000000000000e+03,1.196280000000000200e+03,1.699906293319784822e+01,2.721127819548902968e-02
1.300000000000000000e+03,1.292759999999999764e+03,1.665484180142493997e+01,2.964454887218069198e-02
1.400000000000000000e+03,1.404360000000000127e+03,1.633289649171042868e+01,3.224407894736856101e-02
1.500000000000000000e+03,1.496160000000000082e+03,1.595648735059219092e+01,3.471381578947378699e-02
1.600000000000000000e+03,1.595159999999999854e+03,1.536504627345230922e+01,3.740676691729331871e-02
1.700000000000000000e+03,1.692359999999999900e+03,1.476145529189235539e+01,4.016193609022567640e-02
1.800000000000000000e+03,1.781639999999999873e+03,1.403590031245453318e+01,4.345996240601521232e-02
1.900000000000000000e+03,1.814039999999999736e+03,1.220828409610160925e+01,4.815178571428589682e-02
2.000000000000000000e+03,1.796400000000000091e+03,1.042292143069251154e+01,5.341635338345888939e-02
2.100000000000000000e+03,1.792799999999999955e+03,9.352708449739989049e+00,5.415131578947396385e-02
2.200000000000000000e+03,1.779120000000000118e+03,8.220490188807357157e+00,5.460093984962449687e-02
2.300000000000000000e+03,1.783799999999999727e+03,7.161636864519095980e+00,5.723148496240644534e-02
2.400000000000000000e+03,1.790279999999999973e+03,6.685063715585608080e+00,5.571663533834643467e-02
2.500000000000000000e+03,1.795679999999999836e+03,6.030790243036268983e+00,5.753562030075241862e-02
